Frequency (Hz)	Level (dB)
960.937500	-66.721764
961.914062	-66.034851
962.890625	-65.799652
963.867188	-65.005516
964.843750	-64.994728
965.820312	-66.250809
966.796875	-66.388496
967.773438	-67.118492
968.750000	-66.641991
969.726562	-65.800064
970.703125	-65.031273
971.679688	-65.770248
972.656250	-65.495850
973.632812	-65.301178
974.609375	-64.886864
975.585938	-65.381126
976.562500	-65.690605
977.539062	-65.246681
978.515625	-65.925507
979.492188	-65.206512
980.468750	-64.992386
981.445312	-65.752190
982.421875	-65.526596
983.398438	-64.800484
984.375000	-66.563820
985.351562	-65.748062
986.328125	-65.335045
987.304688	-64.423096
988.281250	-65.608543
989.257812	-67.447868
990.234375	-66.302406
991.210938	-65.907578
992.187500	-64.886879
993.164062	-65.744659
994.140625	-65.837288
995.117188	-65.151146
996.093750	-65.638641
997.070312	-66.348625
998.046875	-65.897293
999.023438	-65.369583
1000.000000	-65.313950
1000.976562	-63.403645
1001.953125	-64.850243
1002.929688	-63.366604
1003.906250	-65.075699
1004.882812	-65.038673
1005.859375	-63.456924
1006.835938	-64.452438
1007.812500	-64.144279
1008.789062	-65.510262
1009.765625	-64.625038
1010.742188	-65.295677
1011.718750	-64.929543
1012.695312	-66.122169
1013.671875	-65.483559
1014.648438	-64.164909
1015.625000	-64.381210
1016.601562	-63.814587
1017.578125	-64.009941
1018.554688	-64.243164
1019.531250	-63.581100
1020.507812	-64.198112
1021.484375	-64.137199
1022.460938	-64.705910
1023.437500	-64.599884
1024.414062	-65.142609
1025.390625	-63.584610
1026.367188	-64.482857
1027.343750	-62.954445
1028.320312	-65.361115
1029.296875	-63.968723
1030.273438	-64.222557
1031.250000	-64.770493
1032.226562	-64.587624
1033.203125	-64.111816
1034.179688	-63.904488
1035.156250	-63.923786
1036.132812	-62.706364
1037.109375	-63.641426
1038.085938	-64.904442
1039.062500	-63.416504
1040.039062	-65.059448
1041.015625	-63.488064
1041.992188	-63.155472
1042.968750	-64.272964
1043.945312	-62.998581
1044.921875	-62.560211
1045.898438	-61.664982
1046.875000	-61.985355
1047.851562	-62.016209
1048.828125	-64.032333
1049.804688	-63.138653
1050.781250	-62.124432
1051.757812	-62.523098
1052.734375	-64.545868
1053.710938	-63.576584
1054.687500	-62.028942
1055.664062	-61.624493
1056.640625	-63.030392
