Frequency (Hz)	Level (dB)
657.226562	-55.485001
658.203125	-54.929703
659.179688	-54.701168
660.156250	-54.360294
661.132812	-54.107063
662.109375	-53.193195
663.085938	-51.902546
664.062500	-51.700230
665.039062	-50.338516
666.015625	-50.598686
666.992188	-51.107246
667.968750	-50.704227
668.945312	-49.334972
669.921875	-49.693176
670.898438	-48.677120
671.875000	-47.929527
672.851562	-47.287910
673.828125	-48.849773
674.804688	-48.958572
675.781250	-50.214672
676.757812	-48.784733
677.734375	-50.024971
678.710938	-50.372513
679.687500	-51.576370
680.664062	-50.126865
681.640625	-50.270050
682.617188	-51.429192
683.593750	-51.847092
684.570312	-52.476639
685.546875	-52.655357
686.523438	-53.471100
687.500000	-54.493519
688.476562	-54.681770
689.453125	-54.855850
690.429688	-56.253059
691.406250	-55.923782
692.382812	-55.820984
693.359375	-55.816078
694.335938	-56.247158
695.312500	-57.659969
696.289062	-58.083496
697.265625	-56.515839
698.242188	-57.782394
699.218750	-58.653084
700.195312	-58.039524
701.171875	-57.343624
702.148438	-58.210781
703.125000	-57.387371
704.101562	-57.227905
705.078125	-58.430851
706.054688	-57.922768
707.031250	-59.320435
708.007812	-58.879360
708.984375	-58.864899
709.960938	-59.867870
710.937500	-57.658131
711.914062	-58.128250
712.890625	-59.586086
713.867188	-57.867317
714.843750	-59.460598
715.820312	-58.794357
716.796875	-58.969345
717.773438	-59.394524
718.750000	-59.030140
719.726562	-59.367653
720.703125	-59.525185
721.679688	-58.447464
722.656250	-59.191570
723.632812	-59.301350
724.609375	-58.739891
725.585938	-58.450714
726.562500	-59.619259
727.539062	-59.951332
728.515625	-58.775185
729.492188	-60.053223
730.468750	-59.119125
731.445312	-57.907001
732.421875	-58.381939
733.398438	-59.451859
734.375000	-58.343403
735.351562	-59.396732
736.328125	-59.133785
737.304688	-59.911461
738.281250	-58.149426
739.257812	-58.386391
740.234375	-59.122158
741.210938	-59.511414
742.187500	-57.809116
743.164062	-58.135246
744.140625	-58.663433
745.117188	-58.424774
746.093750	-57.775734
747.070312	-57.601803
748.046875	-57.656891
749.023438	-58.417858
750.000000	-58.510506
750.976562	-57.386509
751.953125	-57.896484
752.929688	-58.189503
753.906250	-57.262009
754.882812	-57.022293
755.859375	-57.877659
756.835938	-57.696594
757.812500	-56.638161
758.789062	-56.801609
759.765625	-55.628307
760.742188	-55.387966
761.718750	-56.291988
762.695312	-55.081551
763.671875	-55.629799
764.648438	-54.135143
765.625000	-55.123863
766.601562	-54.652500
767.578125	-54.412788
768.554688	-52.732578
769.531250	-53.044548
770.507812	-52.641190
771.484375	-52.818554
772.460938	-53.638397
773.437500	-51.772701
774.414062	-51.657173
775.390625	-49.938530
776.367188	-51.732323
777.343750	-50.006531
778.320312	-49.444965
779.296875	-49.415855
780.273438	-49.769211
781.250000	-49.389904
782.226562	-48.651894
783.203125	-47.283085
784.179688	-46.055817
785.156250	-45.257160
786.132812	-45.259468
787.109375	-45.083874
788.085938	-43.592648
789.062500	-44.883480
790.039062	-45.436840
791.015625	-46.160236
791.992188	-44.592903
792.968750	-45.649841
793.945312	-45.739388
794.921875	-46.870529
795.898438	-47.115734
796.875000	-47.486633
797.851562	-47.540211
798.828125	-47.362225
799.804688	-47.972012
800.781250	-49.429409
801.757812	-50.103512
802.734375	-50.611507
803.710938	-50.570026
804.687500	-51.952843
805.664062	-51.606651
806.640625	-51.827557
807.617188	-52.255577
808.593750	-51.955837
809.570312	-52.616913
810.546875	-53.586395
811.523438	-54.823864
812.500000	-53.982895
813.476562	-53.036392
814.453125	-54.439075
815.429688	-54.749519
816.406250	-54.222370
817.382812	-55.231987
818.359375	-54.647636
819.335938	-55.576805
820.312500	-55.173054
821.289062	-56.002186
822.265625	-57.012424
823.242188	-55.843628
824.218750	-56.838322
825.195312	-55.701088
826.171875	-56.930397
827.148438	-55.286598
828.125000	-56.900040
829.101562	-57.943970
830.078125	-56.767159
831.054688	-56.256264
832.031250	-57.532608
833.007812	-57.098557
833.984375	-57.136513
834.960938	-57.147095
835.937500	-58.000252
836.914062	-57.509239
837.890625	-58.759739
838.867188	-57.553829
839.843750	-58.698963
840.820312	-58.356579
841.796875	-57.718590
842.773438	-57.745022
843.750000	-58.884327
844.726562	-57.276512
845.703125	-58.895859
846.679688	-58.932339
847.656250	-57.396378
848.632812	-57.576294
849.609375	-57.293320
850.585938	-58.029602
851.562500	-58.788525
852.539062	-57.827030
853.515625	-58.502003
854.492188	-58.340481
855.468750	-57.692314
856.445312	-57.248753
857.421875	-57.448605
858.398438	-57.609753
859.375000	-57.201424
860.351562	-57.069038
861.328125	-58.014004
862.304688	-57.641800
863.281250	-58.462223
864.257812	-57.022766
865.234375	-57.587376
866.210938	-57.340347
867.187500	-57.306137
868.164062	-56.543537
869.140625	-56.639896
870.117188	-55.960289
871.093750	-56.031559
872.070312	-55.522884
873.046875	-55.742157
874.023438	-55.735291
875.000000	-56.656948
875.976562	-55.835945
876.953125	-55.589359
877.929688	-56.004650
